Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"No, not that… way."
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Show-off. Pocahontas? Pocahontas? Are you all right? Well, you better be all right because I’m not coming in after you…! [Coughs.] Don’t you think we’re getting a little old for these games?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Help me turn this thing over.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,What were you doing up there?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Thinking. Meeko!
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"About the dream again? Oh, have you figured it out yet?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"I know it means something, I just don’t know what."
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,You should ask your father about it.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Maybe I should. Come on, Flit. Quit playing around, we have to get back."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"…faced a determined enemy. The battle lasted from the rising of the sun until the evening shadows fell. Our warriors fought with courage, but none as bravely as Kocoum. He attacked with the fierce strength of the bear. He has proven himself to be the greatest…"
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Oh, he’s so handsome."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I especially love his smile.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,… destroying every enemy in his path. Tonight we will feast in his honor.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,My daughter.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Wingapo, father."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Seeing you gives me great joy.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I am so glad you’ve come home safely.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Come with me, we have much to talk about. I want to hear everything you’ve been doing."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Father, for many nights now I’ve been having a very strange dream. I think it’s telling me something’s about to happen, something exciting."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Yes, something exciting is about to happen."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Really, what is it?"
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Kocoum has asked to seek your hand in marriage.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Marry Kocoum?
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,I told him it would make my heart soar.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,But he’s so… serious.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"My daughter, Kocoum will make a fine husband. He is loyal and strong and will build you a good house with sturdy walls. With him you will be safe from harm."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Father, I think my dream is pointing me down another path."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,This is the right path for you.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,But why can’t I choose—
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Pocahontas, come with me. You are the daughter of the chief. It is time to take your place among our people. Even the wild mountain stream must someday join the big river."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,He wants me to be steady… Like the river. But it’s not steady at all.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Is that my Pocahontas?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Grandmother Willow, I need to talk to you."
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Good morning, child. I was hoping you’d visit today. Why, your mother’s necklace!"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,That’s what I wanted to talk to you about. My father wants me to marry Kocoum.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Kocoum? But he’s so serious.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I know. My father thinks it’s the right path for me. But lately I’ve been having this dream and I think it’s—
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Oh, a dream! Let’s hear all about it!"
Pocahontas,Animals,Unknown,Animal,Nature,Supporting,False,False,[Chatter.]
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Quiet! Quiet!
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Now, child, you were saying."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Well, I’m running through the woods and then right there in front of me is an arrow. As I look at it, it starts to spin."
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,A spinning arrow? How unusual.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Yes! It spins faster and faster and faster until suddenly it stops.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Hmm. Well, seems to me this spinning arrow is pointing you down your path."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"But Grandmother Willow, what is my path? How am I ever going to find it?"
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,[Chuckle.] Your mother asked me the very same question.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,She did? What did you tell her?
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"I told her to listen. All around you are spirits, child. They live in the earth, the water, the sky. If you listen, they will guide you."
Pocahontas,Wind Spirits,Unknown,Spiritual Entity,Nature/Spiritual,Supporting,False,False,Ay ay ay na ay ay na
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I hear the wind.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Yes, what is it telling you?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I don’t understand.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Que que na-to-ra
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,It’s saying something’s coming! Strange clouds?
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Listen with your heart
Pocahontas,Wind Spirits,Unknown,Spiritual Entity,Nature/Spiritual,Supporting,False,False,You will understand
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,What do you see?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Clouds. Strange clouds.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Look at it, Wiggins. An entire New World chock full of gold, just waiting for me."
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,"And scores of adventures waiting for us, right, Percy? Do you think we’ll meet some savages?"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"If we do, we should be sure to give them a proper English greeting."
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,"Oh, gift baskets!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,And he came so highly recommended.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"It’s perfect, Governor. The water’s deep enough, we can pull right up to shore. Hey there, Percy."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Very well, then. Give the order."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Already done, sir. I’ve got a crew assembled and they’re ready to go."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"About the natives, I’m counting on you to make sure those filthy heathens don’t disrupt our mission."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Well, if they’re anything like the savages I’ve fought before, it’s nothing I can’t handle."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Right. That’ll be all, Smith, there’s a good man."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"See ya, Percy."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"The men like Smith, don’t they? I’ve never been a popular man."
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,I like you.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,And don’t think I don’t know what those backstabbers at court say about me.
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,"Oh yes, all that talk about you being a pathetic social climber who’s failed at everything he’s—"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"I’m very well aware that this is my last chance for glory. But mark my words, Wiggins, when King James see the gold these peasants unearth success will be mine, at last."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Come on, men, we didn’t come all this way just to look at it."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Getting a better look. [Meeko bumps into him.] Hey! Well, you’re a strange-looking fellow. You hungry? Here you go, it’s a biscuit. It’s food… Well, sort of. You like it, eh? Well, try eating it for four months straight. You got a friend back there? [Flit attacks him.] Hey, what, what, watch out! No… Get that… Look out!"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"All right, all right, I’m leaving."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"My brothers, we must know more about these visitors. Kekata, what do you see?"
Pocahontas,Kekata,Male,Native American,Powhatan,Supporting,True,True,"[Chanting.] These are not men like us, but strange beasts with bodies that shine like the sun and weapons that spout fire and thunder. They prowl the earth like ravenous wolves consuming everything in their path."
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,Great Powhatan. I will lead our warriors to the river and attack. We will destroy these invaders the way we destroyed the Massawomecks.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Kocoum, in that battle we knew how to fight our enemy, but these pale visitors are strange to us. Take some men to the river to observe them. Let us hope they do not intend to stay."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"I hereby claim this land and all its riches in the name of His Majesty King James the first, and do so name this settlement Jamestown."
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,"Bravo! Bravo! Beautifully spoken, sir! Hurry now, Percy. We must be all squeaky clean for the New World. [Exits.]"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Captain Smith! It appears I’ve selected the perfect location, eh? Not a savage in sight."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Just because we don’t see them doesn’t mean they’re not out there, sir."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Well then, perhaps you should venture forth and determine their whereabouts, hmm?"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"If there are any Indians out there, I’ll find them."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Now, gentlemen, to work. You men, get the ship unloaded."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,You men build the fort. The rest of you… Break out the shovels! It’s time to start digging.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Why, of course! Let’s not forget what the Spanish found when they came to the New World. Gold, mountains of it. Why, for years they’ve been ravaging the New World of its most precious resources but now… It’s our turn."
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,Hey nonny nonny
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Ooh, how I love it"
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,Hey nonny nonny
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Riches for cheap
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,Hey nonny nonny
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,There’ll be heaps of it
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,All of my life I have searched for land like this one
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Keep on working, lads"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Mine
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Don’t be shirking, lads"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Beautiful gold
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Make the mounds big, boys"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,This land we behold
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,This beauty untold
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,A man can be bold
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,It all can be sold
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Is
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Mine
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Mine
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"No, wait! Please! Please! Don’t run off. It’s all right, I’m not gonna hurt you. Here, let me help you out of there."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Mat-ta-que na-to-rath.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"You don’t understand a word I’m saying, do you? It’s all right."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Who are you?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Pocahontas.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,What? What did you say?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,My name is Pocahontas.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,I’m John Smith.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"That’s it. Keep at it, men. Keep digging. It’s got to be here somewhere."
Pocahontas,Namontack,Male,Native American,Powhatan,Supporting,True,True,"There’s thirty more of them, down by the ridge."
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,That makes more than a hundred.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Anything yet?
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"For king and country, I know, I know, and I share your fatigue. Wiggins! Wiggins!"
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,Coming!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Dispose of this.
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,"[To Percy.] Who’s a good doggy? Who’s a good doggy? Fetch, boy!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Savages! It’s an ambush, arm yourselves!"
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,Run!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Arm yourselves! Make sure every man has a musket! Shoot! [Thomas trips over a log and his rifle goes off accidentally, firing right between Ratcliffe's legs.] Them, you idiot! Where’s that blasted Smith when I need him?"
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,Namontack!
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,Back to the village!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,[To Thomas.] And you! Learn to use that thing properly. A man’s not a man unless he knows how to shoot.
Pocahontas,Kekata,Male,Native American,Powhatan,Supporting,True,True,[Chanting.]
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"These beasts invade our shores, and now this."
Pocahontas,Kekata,Male,Native American,Powhatan,Supporting,True,True,[Chanting.] This wound is strange to me.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"We will fight this enemy, but we cannot do it alone. Kocoum, send messengers to every village in our nation. We will call on our brothers to help us fight. [Steps outside the tent.] These White Men are dangerous! No one is to go near them."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,It’s called a helmet.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Helmet.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"So, what river is this?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Quiyoughcohannock.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,You have most unusual names here. Chicahominy. Quiyough - Quiyoughcohannock. Pocahontas.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"You have the most unusual name, too. John Smith."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,[Pulls Meeko out of his bag.] Hey! Is this bottomless pit a friend of yours?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Meeko!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Nothing’s happening.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"No, no, I need your hand first. It’s how we say hello."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,This is how we say hello. Wingapo.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Wingapo.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,And how we say goodbye. Ana.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"I like hello better. [Flit charges at him.] Yeah, I remember you."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Flit just doesn’t like strangers.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"But I’m not a stranger anymore. Hmm, stubborn little fellow, isn’t he?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Very stubborn.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Hey!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Meeko! Come back here!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Don’t worry, he can’t hurt it. [Meeko hits it against a rock.] Hey, what are you doing?!"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Meeko bring that back!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"No, no, it’s all right. He can keep it. Call it a gift."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,What was that?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,My compass.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Compass?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"It tells you how to find your way when you get lost. But it’s all right, I’ll get another one in London."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,London? Is that your village?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Yes, it’s a very big village."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,What’s it like?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Well, it’s got streets filled with carriages and bridges over the rivers and buildings as tall as trees."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I’d like to see those things.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,You will.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,How?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,We’re going to build them here. We’ll show your people how to use this land properly. How to make the most of it.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Make the most of it?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Yes, we’ll build roads and decent houses and—"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Our houses are fine.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"You think that, only because you don’t know any better. [Pocahontas starts to leave.] Wait a minute, don’t take it that – [Flit attacks him.] Hey, hey, wait! Wait, wait! There’s so much we can teach you. We’ve improved the lives of savages all over the world."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Savages?!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Uh, not that you’re a savage."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Just my people.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"No, listen, that’s not what I meant. Let me explain—"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Let go!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"No, I’m not letting you leave. Look, don’t do this. ‘Savage’ is just a word. You know. A term for… people who are uncivilized."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Like me.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Well, when I say uncivilized, what I mean is – is…"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"What you mean is, not like you."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,What is it?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,The drums. They mean trouble. I shouldn’t be here.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,I want to see you again.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I can’t.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Please, don’t leave."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I’m sorry. I have to go.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,What?
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"I’m doomed! I should be wallowing in riches right now and I haven’t seen so much as a speck! It’s got to be here somewhere. Where could it be? I’ve mined the forests and the hills and swamps, and nothing! Why can’t I find it? What am I overlooking?"
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,Ah!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,[Gasp.]
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,I… I… I made it myself.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Take that silly… Of course, the Indians! Wiggins, why do you think those insolent heathens attacked us?"
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,Because we invaded their land and cut down their trees and dug up their earth?
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"It’s the gold! They have it and they don’t want us to take it from them. Well, I’ll just have to take it by force then, won’t I?"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,You there! Where’s Captain Smith?
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Well, then go get him, for heaven’s sake!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"That’s what guns are for, now arm yourselves and get moving!"
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Pocahontas! You should be inside the village.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,We’ll be all right.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,We’re gathering food for when the warriors arrive.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Don’t go far. Now is not the time to be running off.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Yes, father."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"When I see you wear that necklace, you look just like your mother."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I miss her.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"But she is still with us. Whenever the wind blows through the trees, I feel her presence. Our people looked to her for wisdom and strength. Someday, they will look to you as well."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I would be honored by that.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,You shouldn’t be out here alone. I’ll send for Kocoum. [Exits.]
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,What?
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,You’re hiding something.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I’m not hiding anything.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Pocahontas, you can tell me, I promise I won’t tell anyone —"
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"[Gasp.] Pocahontas, look! It’s one of them! I’m going to get— [Pocahontas covers her mouth.]"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,What are you doing here?
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Mmm?!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,I had to see you again.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Mmm!
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,Pocahontas!
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Mmm!
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,Pocahontas!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Please, don’t say anything. Quick, this way."
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,But—
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,"Nakoma, where is Pocahontas?"
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,I… I haven’t seen her.
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,Pocahontas can’t keep running off. It’s dangerous out there. Tell her that. She listens to you.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Huh, sure she does."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"This place is incredible! And to think, we came all this way just to dig it up for gold."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Gold?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Hey, Meeko."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,What’s gold?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"You know, it’s… It’s yellow, comes out of the ground, it’s really valuable."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Oh, here, we’ve lots of it. [Takes out an ear of corn.] Gold."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,No… Gold is this. [Takes out a gold coin.]
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Hmm, there’s nothing like that around here."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,No gold?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Not that I’ve seen.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,[Laughs.] All this way for nothing. Those boys are in for a big surprise.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Will they leave?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Some of them might.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Will you go home?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Well, it’s not like I have much of a home to go back to. I’ve never really belonged anywhere."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,You could belong here.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,What was that?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Did you see something?
